id,selected_by_percent,selected_rank,selected_rank_type
1,34.6,7,1
2,0.4,293,38
3,0.2,378,54
4,0.2,371,53
5,44.0,4,1
6,14.9,23,8
7,5.8,66,22
8,18.1,15,5
9,0.0,596,212
10,1.4,171,66
11,0.5,262,100
13,0.4,279,105
14,0.1,499,178
15,0.2,360,130
16,7.3,58,21
17,1.6,156,54
18,0.8,212,72
19,0.9,204,71
20,0.8,222,78
21,24.4,12,4
22,0.8,220,77
23,0.0,694,279
24,0.1,440,151
25,0.1,460,157
26,3.1,109,35
28,0.1,493,174
29,0.0,589,222
30,0.7,226,34
31,0.3,314,49
266,8.3,49,17
662,0.2,398,149
666,12.1,31,8
700,0.8,217,74
711,0.0,708,288
725,1.0,198,76
759,0.0,672,236
32,4.8,80,15
33,0.4,294,39
34,0.1,507,75
35,0.0,757,88
36,8.3,50,16
37,1.6,158,61
38,7.7,53,18
39,0.6,254,96
40,0.6,240,91
41,0.3,323,118
42,0.2,373,137
43,1.6,160,62
44,0.5,261,99
45,0.2,355,129
46,0.1,466,173
47,25.0,11,3
48,0.7,238,83
49,0.1,467,161
50,0.4,298,105
51,0.0,695,280
53,0.4,290,101
54,0.7,227,79
55,0.1,501,181
56,0.0,830,373
57,0.0,669,268
58,0.2,399,134
59,0.7,235,81
60,0.2,357,121
61,0.1,544,201
62,0.1,573,214
63,0.5,270,93
64,15.7,21,5
65,0.3,332,54
389,0.2,401,135
456,0.2,367,124
688,0.6,250,34
699,0.1,513,186
701,0.1,546,192
702,0.1,502,182
703,0.6,247,33
710,0.2,388,143
719,0.1,485,175
754,0.0,750,318
757,0.0,702,83
768,0.0,688,243
781,0.0,701,248
792,0.0,785,342
808,0.2,382,60
183,0.1,455,66
184,0.2,410,58
185,0.2,416,59
186,0.0,659,233
187,1.1,189,73
188,0.2,385,141
189,0.0,732,254
190,0.7,228,86
191,7.0,59,19
192,0.6,251,95
193,0.1,449,169
194,0.1,571,203
195,0.3,345,124
196,0.0,617,220
197,0.2,400,150
198,0.9,207,82
199,0.2,377,138
200,1.9,145,49
201,0.0,719,297
202,0.0,623,240
203,0.0,593,223
204,0.0,731,304
205,0.8,216,73
206,0.1,492,173
207,0.1,437,150
208,0.0,744,314
209,0.0,622,239
210,0.0,634,244
211,1.4,169,60
212,0.0,771,330
213,0.0,627,241
214,0.1,543,200
215,0.3,301,46
216,0.0,677,86
217,0.8,221,31
218,1.3,176,28
219,0.1,471,67
470,27.4,10,2
614,0.2,379,128
676,0.1,479,168
680,0.1,423,62
722,0.0,616,236
776,0.0,790,345
784,0.0,799,351
820,0.0,815,361
66,0.1,575,78
67,5.3,74,12
68,0.7,229,30
69,0.2,359,51
70,0.1,578,79
71,0.0,674,237
72,20.9,13,4
73,0.2,391,145
74,4.4,85,27
75,0.2,386,142
76,0.2,395,148
77,7.8,51,17
78,0.5,269,101
79,0.1,550,195
80,0.2,390,144
81,0.6,249,88
84,5.2,75,25
85,0.3,343,118
86,0.2,397,133
87,0.2,404,138
88,0.0,636,245
89,0.0,680,273
90,2.5,121,38
91,0.0,747,316
92,0.1,565,209
93,0.3,342,117
94,0.0,650,254
95,0.1,582,217
96,0.0,647,252
97,2.5,122,19
98,0.0,591,80
99,0.1,438,63
100,5.7,68,13
391,0.0,643,249
685,0.3,341,123
687,0.2,396,132
697,0.3,349,120
713,0.2,363,132
721,0.0,646,231
756,0.0,743,313
782,0.0,657,81
