first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
David,Raya Martín,0,0,30,450,4,0.2,104.6,0.0,3,104,10.6,3,0,0,42.2,61,GK,4.9
Kepa,Arrizabalaga Revuelta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,GK,0.0
Illan,Meslier,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,GK,0.0
Gabriel,dos Santos Magalhães,0,0,25,450,4,22.0,94.8,84.0,2,90,20.0,3,0,2,22.8,80,DEF,3.1
Jurriën,Timber,0,0,1,104,3,4.2,10.2,0.0,0,-3,1.5,0,0,0,0.4,65,DEF,0.2
William,Saliba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,59,DEF,0.0
Myles,Lewis-Skelly,0,0,9,271,1,40.2,21.6,16.0,0,37,7.0,2,0,0,0.6,54,MID,1.7
Riccardo,Calafiori,0,2,29,416,4,52.7,71.6,66.0,2,76,19.1,3,0,0,50.6,58,DEF,5.0
Piero,Hincapié,0,0,2,32,0,1.0,6.4,2.0,0,6,1.0,0,0,0,0.9,52,DEF,0.4
Benjamin,White,0,1,21,315,1,53.0,69.6,29.0,3,78,15.2,2,0,0,5.1,55,DEF,3.8
Cristhian,Mosquera,0,0,12,168,0,2.0,24.6,0.0,0,52,2.7,2,0,0,1.7,53,DEF,2.3
Bukayo,Saka,3,0,32,416,4,125.6,155.6,240.0,4,137,52.1,3,0,0,13.5,95,MID,3.4
Declan,Rice,0,2,20,411,4,108.4,120.2,5.0,0,91,23.4,3,0,1,12.0,74,MID,2.7
Eberechi,Eze,0,0,4,85,0,5.9,3.0,9.0,0,18,1.6,0,0,0,1.0,63,MID,0.6
Martin,Ødegaard,2,0,29,377,4,166.9,121.8,73.0,6,137,36.2,3,0,0,19.8,68,MID,4.3
Noni,Madueke,0,0,2,23,0,43.9,11.6,0.0,0,11,5.6,0,0,0,0.2,62,MID,0.3
Mikel,Merino Zazón,0,0,4,81,0,4.2,10.0,16.0,0,19,3.0,0,0,1,0.4,58,MID,0.7
Gabriel,Martinelli Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,63,MID,0.0
Martín,Zubimendi Ibáñez,0,0,5,89,0,5.0,13.4,29.0,0,16,4.8,0,0,0,0.6,53,MID,0.9
Max,Dowman,0,0,1,9,0,14.8,2.0,0.0,0,4,1.7,0,0,0,0.1,53,MID,0.2
Ethan,Nwaneri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Reiss,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Viktor,Gyökeres,0,0,2,29,0,14.7,0.0,0.0,0,7,1.4,0,0,0,3.1,71,FWD,0.3
Kai,Havertz,2,0,19,437,4,71.3,89.4,165.0,2,82,32.6,3,0,1,8.5,76,FWD,2.5
Gabriel,Fernando de Jesus,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,59,FWD,0.0
Ezri,Konsa Ngoyo,0,0,12,281,4,14.0,45.0,14.0,0,36,7.3,1,0,0,19.4,46,DEF,2.6
Bruno,Guimarães Rodriguez Moura,1,0,9,123,3,6.5,41.0,19.0,1,45,6.6,0,0,0,1.8,67,MID,1.3
