name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Regan Slater,MID,Hull City,,a,,,,2.8,110,37,1,0,20,1,0,19.3,3,290,0.44,0.44,0.00,1.83,4,0,0,3.8,18.4,2026-08-22T11:30:00Z,90,False,16,0,0,0,2,0,1,0,272889,1,1,0,2,0.0,6,0,0,0,45,True,0
Mohammed Kudus,MID,Spurs,,d,Thigh injury - 75% chance of playing,,75,0.1,419,167,0,0,0,0,0,0.0,0,512,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,8272,0,0,0,3,0.0,0,0,0,0,65,False,0
Omar Marmoush,FWD,Man City,,a,,,,0.8,202,32,0,0,0,0,0,0.0,0,401,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,80421,0,0,1,2,0.0,0,0,0,0,70,True,0
Tom Watson,MID,Brighton,,u,Has joined Leicester City on loan for the rest of the season,,0,0.0,593,258,0,0,0,0,0,0.0,0,133,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,241,0,0,0,4,0.0,0,0,0,0,50,True,0
Brenden Aaronson,MID,Leeds,,a,,,,1.0,191,65,0,0,16,1,0,1.1,7,337,0.01,0.02,0.01,0.58,6,0,0,1.6,8.0,2026-08-22T14:00:00Z,81,False,18,0,0,0,6,0,1,0,87156,1,1,1,0,7.0,3,0,0,0,55,False,0
Jake Bidwell,DEF,Coventry City,,a,,,,0.1,441,153,0,0,0,0,0,0.0,0,178,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,0,1,0,7091,0,0,0,3,0.0,0,0,0,0,40,False,0
Archie Gray,MID,Spurs,,a,,,,0.2,333,116,0,0,15,0,2,3.3,5,522,0.01,0.01,0.00,3.43,2,3,0,1.0,6.2,2026-08-22T16:30:00Z,85,False,4,0,0,0,2,0,1,0,19767,1,1,0,3,0.0,2,0,0,0,50,False,0
Brandon Austin,GK,Spurs,,a,,,,0.8,205,28,0,0,0,0,0,0.0,0,495,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,78400,0,0,0,3,0.0,0,0,0,0,40,False,0
Fábio Freitas Gouveia Carvalho,MID,Brentford,,d,Lack of match fitness - 75% chance of playing,,75,0.0,541,224,0,0,0,0,0,0.0,0,100,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,19,0,0,0,0,0,1,0,1459,0,0,0,3,0.0,0,0,0,0,50,True,0
Tom King,GK,Everton,,a,,,,0.0,505,56,0,0,0,0,0,0.0,0,228,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,8,0,0,0,0,0,1,0,3498,0,0,0,2,0.0,0,0,0,0,45,True,0
Harvey Cartwright,GK,Hull City,,u,Has joined Grimsby Town on loan for the rest of the season,,0,0.0,563,67,0,0,0,0,0,0.0,0,275,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,0,1,0,1022,0,0,0,2,0.0,0,0,0,0,40,True,0
Bradley Burrowes,MID,Aston Villa,,a,,,,0.7,222,74,0,0,0,0,0,0.0,0,50,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,5,0,0,0,0,0,1,0,60228,0,0,0,4,0.0,0,0,0,0,45,False,0
Joao Gomes,MID,Aston Villa,,i,Calf injury - Unknown return date,,0,0.1,427,171,0,0,-2,0,1,11.0,7,54,0.01,0.01,0.00,2.58,7,4,0,1.2,1.0,2026-08-23T13:00:00Z,39,False,5,0,0,0,2,1,1,0,6573,1,4,0,4,0.0,-2,0,0,0,55,False,0
Nico González Iglesias,MID,Man City,,a,,,,0.1,399,154,0,0,0,0,0,0.0,0,405,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,11878,0,0,1,2,0.0,0,0,0,0,55,True,0
Ellis Simms,FWD,Coventry City,,a,,,,0.8,203,33,0,0,7,0,1,12.3,3,195,0.01,0.01,0.00,1.60,1,3,0,1.7,2.6,2026-08-21T19:00:00Z,69,False,1,0,0,0,2,0,1,0,78607,1,0,0,3,2.0,2,0,0,0,50,False,0
David Raya Martín,GK,Arsenal,,a,,,,37.0,5,1,0,0,24,1,1,0.0,0,1,0.00,0.00,0.00,0.20,1,0,0,1.2,11.8,2026-08-21T19:00:00Z,90,False,7,0,0,0,8,0,1,1,3347153,1,0,0,3,0.0,6,0,0,0,60,True,0
Tyrick Mitchell,DEF,Crystal Palace,,a,,,,6.5,61,25,0,0,9,0,3,13.8,5,204,0.01,0.01,0.00,1.12,3,2,0,2.7,11.6,2026-08-22T14:00:00Z,90,False,9,0,0,0,4,0,1,0,580791,1,2,0,2,2.0,1,0,0,0,45,False,0
António João Pereira de Albuquerque Tavares da Silva,DEF,Bournemouth,,a,,,,0.3,313,116,0,0,5,0,13,0.3,13,566,0.00,0.00,0.00,2.25,8,2,0,3.2,31.4,2026-08-23T13:00:00Z,90,False,15,0,0,0,1,0,1,0,23702,1,0,1,2,0.0,2,0,0,0,50,False,1
Xavi Simons,MID,Spurs,,i,Knee injury - Unknown return date,,0,0.0,556,234,0,0,0,0,0,0.0,0,513,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,1345,0,0,0,3,0.0,0,0,0,0,60,False,0
Wilfried Gnonto,MID,Leeds,,i,Hamstring injury - Unknown return date,,0,0.0,517,217,0,0,0,0,0,0.0,0,341,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,0,1,0,2172,0,0,1,0,0.0,0,0,0,0,50,False,0
Trey Nyoni,MID,Liverpool,,a,,,,0.0,494,204,0,0,0,0,0,0.0,0,375,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,3729,0,0,2,2,0.0,0,0,0,0,50,False,0
Jan Paul van Hecke,DEF,Spurs,,a,,,,9.4,44,16,0,0,3,0,7,2.8,9,112,0.03,0.03,0.00,3.87,2,3,0,3.3,28.2,2026-08-22T16:30:00Z,90,False,4,0,0,0,3,0,1,0,955905,1,2,0,3,2.0,1,0,0,0,50,False,0
