id,xP
1,6.0
2,0.0
3,0.0
4,6.5
5,0.0
6,0.0
7,3.0
8,10.0
9,0.5
10,9.0
11,6.0
12,10.0
13,4.0
14,1.0
15,7.0
16,0.5
17,1.0
18,0.0
19,1.0
20,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,4.0
27,0.0
31,0.5
452,0.4
557,3.0
29,0.5
30,0.0
32,0.5
33,0.5
34,1.0
35,0.5
36,0.5
37,0.0
38,0.0
39,0.0
41,2.0
44,0.0
45,1.0
46,2.0
47,2.0
48,0.0
49,0.0
50,0.0
51,2.0
52,0.5
53,0.0
54,0.0
55,0.0
56,0.2
160,1.0
166,1.0
582,0.0
596,0.5
597,1.0
606,0.0
607,0.0
611,1.8
618,2.2
630,1.8
631,2.2
57,2.5
58,0.0
59,0.0
60,2.5
61,2.5
62,0.0
63,0.0
64,1.0
65,0.0
66,0.0
67,2.0
68,5.5
69,7.0
70,3.0
71,3.0
72,0.5
73,1.0
74,0.5
75,0.5
76,0.5
77,0.0
78,0.0
79,4.5
80,0.0
81,0.5
566,3.0
573,0.0
608,0.5
615,2.0
82,4.5
83,0.0
84,4.5
85,0.0
86,8.0
87,5.5
88,7.5
89,0.5
90,1.0
92,0.0
93,0.0
94,6.5
95,2.0
96,2.0
97,3.0
98,5.0
99,0.0
100,0.0
102,1.0
103,0.0
105,1.5
106,1.0
107,0.0
108,1.0
565,9.0
620,1.8
109,3.0
111,0.0
113,0.0
114,2.5
115,8.5
116,2.5
117,0.0
118,0.0
119,0.5
120,0.0
121,0.0
122,0.0
123,2.0
124,7.5
125,1.9
126,0.0
127,5.5
128,0.0
129,1.0
130,3.5
132,0.0
133,0.0
134,0.0
135,0.5
137,0.0
138,3.0
139,0.0
328,0.0
504,3.0
594,0.5
600,1.0
605,4.5
614,1.8
624,1.5
639,2.0
652,2.0
28,1.0
40,6.5
101,0.0
136,0.0
140,1.0
141,0.0
142,0.5
143,0.0
144,1.0
145,0.0
146,0.0
148,2.5
149,0.5
150,0.0
151,2.0
152,0.0
154,10.0
156,4.0
157,0.5
158,0.0
159,0.4
161,4.0
163,0.0
164,0.5
165,10.0
168,0.0
169,0.0
170,0.0
200,3.5
560,0.0
561,0.0
568,0.5
583,1.0
91,0.5
104,1.0
110,1.5
171,0.0
172,0.0
173,5.5
174,0.0
175,1.5
176,1.5
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,1.0
183,2.0
184,2.0
185,0.5
186,0.5
187,0.0
188,1.0
189,0.0
190,1.5
191,0.0
192,0.0
193,0.0
194,1.5
195,1.0
196,0.0
197,0.0
492,1.5
575,2.0
584,1.0
599,0.0
623,1.0
42,1.0
153,0.5
198,1.5
199,0.0
202,1.5
203,0.5
204,0.5
205,0.0
206,0.0
207,0.5
208,0.0
210,3.0
211,3.0
212,0.0
213,0.0
214,2.5
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,1.5
223,1.0
224,1.5
225,0.0
241,1.5
555,0.0
577,1.0
588,1.5
595,0.5
633,1.8
643,1.8
644,1.5
647,2.0
21,0.0
209,1.0
226,5.0
227,0.0
228,0.0
